,Medal,Beer Name,Brewery,City,State,Category,Year
2685,Gold,Hefelightzen,BJ's Restaurant & Brewery,Huntington Beach,CA,German-Style Wheat Ale,2010
2686,Silver,Wowzenbock,Deschutes Brewery,Bend,OR,German-Style Wheat Ale,2010
2687,Bronze,Capital Weizen Doppelbock,Capital Brewery Co. Inc,Middleton,WI,German-Style Wheat Ale,2010
2688,Gold,Celia Pale Ale,Alchemist (The),Waterbury,VT,Gluten Free Beer,2010
2689,Silver,Gluten Free,Deschutes Brewery,Bend,OR,Gluten Free Beer,2010
2690,Bronze,3R Raspberry Ale,New Planet Beer Co.,Boulder,CO,Gluten Free Beer,2010
2691,Gold,Kiwanda Cream Ale,Pelican Pub & Brewery,Pacific City,OR,Golden or Blonde Ale,2010
2692,Silver,Steelhead Extra Pale Ale,Mad River Brewing Co.,Blue Lake,CA,Golden or Blonde Ale,2010
2693,Bronze,Heavy Seas Gold Ale,Clipper City Brewing Co.,Baltimore,MD,Golden or Blonde Ale,2010
2694,Gold,Rosemary Swamp Fox,Moon River Brewing Co.,Savannah,GA,Herb and Spice or Chocolate Beer,2010
2695,Silver,Stone Smoked Porter with Chipotle,Stone Brewing Co.,Escondido,CA,Herb and Spice or Chocolate Beer,2010
2696,Bronze,Super Chili Pepper Madness,Mad River Brewing Co.,Blue Lake,CA,Herb and Spice or Chocolate Beer,2010
2697,Gold,Doheny Double IPA,Pizza Port - San Clemente,San Clemente,CA,Imperial India Pale Ale,2010
2698,Silver,Hop Crisis!,21st Amendment Brewery,San Francisco,CA,Imperial India Pale Ale,2010
2699,Bronze,Decadence Imperial IPA,Trinity Brewhouse,Providence,RI,Imperial India Pale Ale,2010
2700,Gold,Lumberyard Imperial Red,Lumberyard Brewing Co.,Flagstaff,AZ,Imperial Red Ale,2010
2701,Silver,Red Eye PA,Brew Kettle Production Works (The),Strongsville,OH,Imperial Red Ale,2010
2702,Bronze,Deranger,Laurelwood Brewing Co.,Portland,OR,Imperial Red Ale,2010
2703,Gold,Russian Imperial Stout,Iron Hill Brewery & Restaurant,Wilmington,DE,Imperial Stout,2010
2704,Silver,Night Rider Imperial Stout,Pizza Port - Carlsbad,Carlsbad,CA,Imperial Stout,2010
2705,Bronze,Anastasia Russian Imperial Stout,Weasel Boy Brewing Co.,Zanesville,OH,Imperial Stout,2010
2706,Gold,Red Trolley Ale,Karl Strauss Brewing Co.,San Diego,CA,Irish-Style Red Ale,2010
2707,Silver,River Falls Red Ale,Thomas Creek Brewery,Greenville,SC,Irish-Style Red Ale,2010
2708,Bronze,Ragtop Red,Rock Bottom Breweries,Louisville,CO,Irish-Style Red Ale,2010
2709,Gold,Kolsch,Hale's Ales Brewery & Pub,Seattle,WA,Kellerbier/Zwickelbier,2010
2710,Silver,Kellerbier,Triumph Brewing Co. of Philadelphia,Philadelphia,PA,Kellerbier/Zwickelbier,2010
2711,Bronze,Summer Teeth,Columbus Brewing Co.,Columbus,OH,Kellerbier/Zwickelbier,2010
2712,Gold,What in the Helles?,Steamworks Brewing Co.,Durango,CO,Munich-Style Helles,2010
2713,Silver,Longboard Island Lager,Kona Brewing Co.,Kailua-Kona,HI,Munich-Style Helles,2010
2714,Bronze,Cowboy Lager,Covey Restaurant & Brewery (The),Fort Worth,TX,Munich-Style Helles,2010
2715,Gold,Backside Stout,Steamworks Brewing Co.,Durango,CO,Oatmeal Stout,2010
2716,Silver,Naked Oatmeal Stout,Rock Bottom Breweries,Louisville,CO,Oatmeal Stout,2010
2717,Bronze,825 State Stout,Epic Brewing Co. LLC,Salt Lake City,UT,Oatmeal Stout,2010
2718,Gold,Fourth Dementia Olde Ale,Kuhnhenn Brewing Co.,Warren,MI,Old Ale or Strong Ale,2010
2719,Silver,Curmudgeon,Founders Brewing Co.,Grand Rapids,MI,Old Ale or Strong Ale,2010
2720,Bronze,Outback X,Bend Brewing Co.,Bend,OR,Old Ale or Strong Ale,2010
2721,Gold,Rio Blanco Pale Ale,Real Ale Brewing Co.,Blanco,TX,Ordinary or Special Bitter,2010
2722,Silver,DBA,Firestone Walker Brewing Co.,Paso Robles,CA,Ordinary or Special Bitter,2010
2723,Bronze,Drop Top,Widmer Brothers Brewing Co.,Portland,OR,Ordinary or Special Bitter,2010
2724,Gold,Sierra 30 Jack and Ken's Ale,Sierra Nevada Brewing Co.,Chico,CA,Other Strong Beer,2010
2725,Silver,Panzer Pilsner,Port Brewing Co.,San Marcos,CA,Other Strong Beer,2010
2726,Bronze,Imperial Oatmeal Stout,Boundary Bay Brewery,Bellingham,WA,Other Strong Beer,2010
2727,Gold,Fathom IPL,Ballast Point Brewing Co.,San Diego,CA,Out of Category – Traditionally Brewed Beer,2010
2728,Silver,Mötley Brüe RyePA,Four Peaks Brewing Co.,Tempe,AZ,Out of Category – Traditionally Brewed Beer,2010
2729,Bronze,Hot Rocks Lager,Port Brewing Co.,San Marcos,CA,Out of Category – Traditionally Brewed Beer,2010
2730,Gold,Red Velvet,Eagle Rock Brewery,Los Angeles,CA,Pro-Am Competition,2010
2731,Silver,Ryed Hard & Put Away Wet,Rockyard Brewing Co.,Castle Rock,CO,Pro-Am Competition,2010
2732,Bronze,Robust Porter,Wormtown Brewing Co.,Worcester,MA,Pro-Am Competition,2010
2733,Gold,Red Velvet,Eagle Rock Brewery,Los Angeles,CA,Proam,2010
2734,Silver,Ryed Hard & Put Away Wet,Rockyard Brewing Co.,Castle Rock,CO,Proam,2010
2735,Bronze,Robust Porter,Wormtown Brewing Co.,Worcester,MA,Proam,2010
2736,Gold,Pig Iron Porter,Iron Hill Brewery & Restaurant,Wilmington,DE,Robust Porter,2010
2737,Silver,Moonlight Porter,Rock Bottom Breweries,Louisville,CO,Robust Porter,2010
2738,Bronze,Blimp Hangar Porter,Tustin Brewing Co.,Tustin,CA,Robust Porter,2010
2739,Gold,BMB Rye IPA,Black Market Brewing Co.,Temecula,CA,Rye Beer,2010
2740,Silver,Portsmouth Brewery Rye Not,Portsmouth Brewery,Portsmouth,NH,Rye Beer,2010
2741,Bronze,Roggenbier,Bear Republic Brewing Co.,Healdsburg,CA,Rye Beer,2010
2742,Gold,Reed's Wee Heavy,Pizza Port - Carlsbad,Carlsbad,CA,Scotch Ale,2010
2743,Silver,Wee Willy Scotch Ale,McCoys Public House & BrewKitchen,Kansas City,MO,Scotch Ale,2010
2744,Bronze,MacPelican's Wee Heavy Ale,Pelican Pub & Brewery,Pacific City,OR,Scotch Ale,2010
2745,Gold,Highland Courage,Rock Bottom Breweries,Louisville,CO,Scottish-Style Ale,2010
2746,Silver,Saint Arnold Oktoberfest,Saint Arnold Brewing Co.,Houston,TX,Scottish-Style Ale,2010
2747,Bronze,Laughing Lab Scottish Ale,Bristol Brewing Co.,Colorado Springs,CO,Scottish-Style Ale,2010
2748,Gold,Squatters Wit,Utah Brewers Cooperative,Salt Lake City,UT,Session Beer,2010
2749,Silver,Endurance IPA Jr.,Founders Brewing Co.,Grand Rapids,MI,Session Beer,2010
2750,Bronze,King's Peak Porter,Uinta Brewing Co.,Salt Lake City,UT,Session Beer,2010
2751,Gold,Alaskan Smoked Porter 2009,Alaskan Brewing Co.,Juneau,AK,Smoked Beer,2010
2752,Silver,Yazoo SUE,Yazoo Brewing Co.,Nashville,TN,Smoked Beer,2010
2753,Bronze,Gordon Biersch Rauchbier,Gordon Biersch Brewery Restaurants,Chattanooga,TN,Smoked Beer,2010
2754,Gold,Stoudts Heifer In Wheat,Stoudt's Brewing Co.,Adamstown,PA,South German-Style Hefeweizen,2010
2755,Silver,U-Boat Hefeweizen,Dry Dock Brewing Co.,Aurora,CO,South German-Style Hefeweizen,2010
2756,Bronze,Wintergreen Weiss,Devils Backbone Brewing Co.,Roseland,VA,South German-Style Hefeweizen,2010
2757,Gold,Belipago,Jolly Pumpkin Artisan Ales,Dexter,MI,Specialty Beer,2010
2758,Silver,Coconut Porter,Pagosa Brewing Co.,Pagosa Springs,CO,Specialty Beer,2010
2759,Bronze,Hazelnut Brown Nectar,Rogue Ales,Newport,OR,Specialty Beer,2010
2760,Gold,Blue Moon Summer Honey Wheat Ale,Blue Moon Brewing Co.,Denver,CO,Specialty Honey Beer,2010
2761,Silver,Truck Stop Honey Brown Ale,Back Forty Beer Co.,Gadsden,AL,Specialty Honey Beer,2010
2762,Bronze,Samuel Adams Honey Porter,Boston Beer Co.,Boston,MA,Specialty Honey Beer,2010
2763,Gold,Kickstart Stout,Barley Brothers Brewery & Grill,Lake Havasu City,AZ,Sweet Stout,2010
2764,Silver,Oil Change Stout,Flat Branch Pub and Brewery,Columbia,MO,Sweet Stout,2010
2765,Bronze,Portsmouth Brewery Milk Stout,Portsmouth Brewery,Portsmouth,NH,Sweet Stout,2010
2766,Gold,Chuckanut Vienna Lager,Chuckanut Brewery,Bellingham,WA,Vienna-Style Lager,2010
2767,Silver,Clueless Beer Writer,SandLot (The),Denver,CO,Vienna-Style Lager,2010
2768,Bronze,Heavy Seas Marzen,Clipper City Brewing Co.,Baltimore,MD,Vienna-Style Lager,2010
2769,Gold,Velvet Merkin (100% Barrel Aged),Firestone Walker Brewing Co.,Paso Robles,CA,Wood- and Barrel-Aged Beer,2010
2770,Silver,Humidor India Pale Ale,Cigar City Brewing,Tampa,FL,Wood- and Barrel-Aged Beer,2010
2771,Bronze,Bluegrass Brown,Thunder Canyon Brewery,Tucson,AZ,Wood- and Barrel-Aged Beer,2010
2772,Gold,Le Serpent Cerise,Snake River Brewing Co.,Jackson,WY,Wood- and Barrel-Aged Sour Beer,2010
2773,Silver,Temptation,Russian River Brewing Co.,Santa Rosa,CA,Wood- and Barrel-Aged Sour Beer,2010
2774,Bronze,The Jaspers,Bullfrog Brewery,Williamsport,PA,Wood- and Barrel-Aged Sour Beer,2010
2775,Gold,Barrel Aged Big Island,Island Brewing Co.,Carpinteria,CA,Wood- and Barrel-Aged Strong Beer,2010
2776,Silver,HE'BREW RIPA on RYE,Shmaltz Brewing Co.,San Francisco,CA,Wood- and Barrel-Aged Strong Beer,2010
2777,Bronze,Melange a Trois,Nebraska Brewing Co.,Papillion,NE,Wood- and Barrel-Aged Strong Beer,2010
2778,Gold,Bourbon Barrel Aged Sexual Chocolate Imperial Stout,Foothills Brewing,Winston-Salem,NC,Wood- and Barrel-Aged Strong Stout,2010
2779,Silver,Remy,TAPS Fish House & Brewery,Brea,CA,Wood- and Barrel-Aged Strong Stout,2010
2780,Bronze,Bourbon County Brand Stout,Goose Island Beer Co.,Chicago,IL,Wood- and Barrel-Aged Strong Stout,2010
2781,Gold,Horn Dog Vintage 2007,Flying Dog Brewery,Frederick,MD,Aged Beer,2009
2782,Silver,St. Bob's Imperial Stout,IL Vicino Brewing Co.,Albuquerque,NM,Aged Beer,2009
2783,Bronze,Winterfest 2008,Utah Brewers Cooperative,Salt Lake City,UT,Aged Beer,2009
2784,Gold,Exit 4,Flying Fish Brewing Co.,Cherry Hill,NJ,American-Belgo-Style Ale,2009
2785,Silver,The Crow and The Sparrow,Rock Bottom Brewery - Chicago,Chicago,IL,American-Belgo-Style Ale,2009
2786,Bronze,Temperance,Mountain Sun Pub and Brewery,Boulder,CO,American-Belgo-Style Ale,2009
2787,Gold,Durango Colorfest,Durango Brewing Co.,Durango,CO,American-Style Amber Lager,2009
2788,Silver,Killian's Red,Coors Brewing Co.,Golden,CO,American-Style Amber Lager,2009
2789,Bronze,Michelob Marzen,Michelob Brewing Co.,Saint Louis,MO,American-Style Amber Lager,2009
2790,Gold,Organic Rise Up Red,Hopworks Urban Brewery,Portland,OR,American-Style Amber/Red Ale,2009
2791,Silver,Red Rock,Triple Rock Brewery and Alehouse,Berkeley,CA,American-Style Amber/Red Ale,2009
2792,Bronze,Hop Head Red,Green Flash Brewing Co.,Vista,CA,American-Style Amber/Red Ale,2009
2793,Gold,Dirty Helen Brown Ale,Barley Island Brewing Co.,Noblesville,IN,American-Style Brown Ale,2009
2794,Silver,Cheyenne Cañon Ale,Bristol Brewing Co.,Colorado Springs,CO,American-Style Brown Ale,2009
2795,Bronze,Great American Brown,Pizza Port - Carlsbad,Carlsbad,CA,American-Style Brown Ale,2009
2796,Gold,Milwaukee's Best,Miller Brewing Co.,Golden,CO,American-Style Cream Ale or Lager,2009
2797,Silver,Hamm's,Miller Brewing Co.,Golden,CO,American-Style Cream Ale or Lager,2009
2798,Bronze,Red Dog,Miller Brewing Co.,Golden,CO,American-Style Cream Ale or Lager,2009
2799,Gold,Session Black Premium Lager,Full Sail Brewing at Riverplace,Portland,OR,American-Style Dark Lager,2009
2800,Silver,Roadrunner Red Lager,Thunder Canyon Brewery,Tucson,AZ,American-Style Dark Lager,2009
2801,Bronze,Saranac Black Forest,Saranac/F.X. Matt Brewing Co.,Utica,NY,American-Style Dark Lager,2009
2802,Gold,Union Jack,Firestone Walker Brewing Co.,Paso Robles,CA,American-Style India Pale Ale,2009
2803,Silver,Sculpin IPA,Ballast Point Brewing Co.,San Diego,CA,American-Style India Pale Ale,2009
2804,Bronze,Blind Pig IPA,Russian River Brewing Co.,Santa Rosa,CA,American-Style India Pale Ale,2009
2805,Gold,Coors Banquet,Coors Brewing Co.,Golden,CO,American-Style Lager or Premium Lager,2009
2806,Silver,Miller High Life,Miller Brewing Co.,Golden,CO,American-Style Lager or Premium Lager,2009
2807,Bronze,Totally Naked,New Glarus Brewing Co.,New Glarus,WI,American-Style Lager or Premium Lager,2009
2808,Gold,Budweiser Select,"Anheuser-Busch, Inc",Saint Louis,MO,American-Style Light Lager,2009
2809,Silver,Keystone Light,Coors Brewing Co.,Golden,CO,American-Style Light Lager,2009
2810,Bronze,Michelob Ultra,"Anheuser-Busch, Inc",Saint Louis,MO,American-Style Light Lager,2009
2811,Gold,Sweetgrass IPA,Grand Teton Brewing Co.,Victor,ID,American-Style Pale Ale,2009
2812,Silver,44 Pale Ale,Colorado Brewing Co./Draft House,Boulder,CO,American-Style Pale Ale,2009
2813,Bronze,Tumble Off Pale Ale,Barley Brown's Brew Pub,Baker City,OR,American-Style Pale Ale,2009
2814,Gold,Rosso e Marrone,Captain Lawrence Brewing Co.,Pleasantville,NY,American-Style Sour Ale,2009
2815,Silver,Raspberry Torte,Iron Hill Brewery & Restaurant,Wilmington,DE,American-Style Sour Ale,2009
2816,Bronze,Diamond Kings '09,Brugge Brasserie,Indianapolis,IN,American-Style Sour Ale,2009
2817,Gold,Keystone Ice,Coors Brewing Co.,Golden,CO,American-Style Specialty Lager,2009
2818,Silver,Pre-Pro,Coors Brewing Co.,Golden,CO,American-Style Specialty Lager,2009
2819,Bronze,Steel Reserve,Miller Brewing Co.,Golden,CO,American-Style Specialty Lager,2009
2820,Gold,Liberty Stout,Gella's Diner and Lb. Brewing Co.,Hays,KS,American-Style Stout,2009
2821,Silver,Troegs Dead Reckoning,Tröegs Brewing Co.,Harrisburg,PA,American-Style Stout,2009
2822,Bronze,Stonefly Oatmeal Stout,Third Street AleWorks,Santa Rosa,CA,American-Style Stout,2009
2823,Gold,Racer 5 IPA,Bear Republic Factory Five,Cloverdale,CA,American-Style Strong Pale Ale,2009
2824,Silver,Hopshot IPA,Beaver St. Brewery,Flagstaff,AZ,American-Style Strong Pale Ale,2009
2825,Bronze,IPA Nectar,Firestone Walker Brewing Co.,Paso Robles,CA,American-Style Strong Pale Ale,2009
2826,Gold,County Seat Wheat,Blind Tiger Brewery & Restaurant,Topeka,KS,American-Style Wheat Beer,2009
2827,Silver,Shredders Wheat,Barley Brown's Brew Pub,Baker City,OR,American-Style Wheat Beer,2009
2828,Bronze,Double Eagle Ale,Rockyard Brewing Co.,Castle Rock,CO,American-Style Wheat Beer,2009
2829,Gold,Haywire Hefeweizen,Pyramid Breweries Inc,Seattle,WA,American-Style Wheat Beer With Yeast,2009
2830,Silver,Hefeweizen,Widmer Brothers Brewing Co.,Portland,OR,American-Style Wheat Beer With Yeast,2009
2831,Bronze,UFO Hefeweizen,Harpoon Brewery,Boston,MA,American-Style Wheat Beer With Yeast,2009
2832,Gold,Duck-Rabbit Baltic Porter,Duck-Rabbit Craft Brewery Inc (The),Farmville,NC,Baltic-Style Porter,2009
2833,Silver,Danzig,Devils Backbone Brewing Co.,Roseland,VA,Baltic-Style Porter,2009
2834,Bronze,Veles Baltic Porter,FireHouse Grill & Brewery,Sunnyvale,CA,Baltic-Style Porter,2009
2835,Gold,Old Inventory Barley Wine,Valley Brewing Co.,Stockton,CA,Barley Wine Style Ale,2009
2836,Silver,Treblehook,Redhook Ales - Woodinville,Woodinville,WA,Barley Wine Style Ale,2009
2837,Bronze,Old Ruffian Barley Wine,Great Divide Brewing Co.,Denver,CO,Barley Wine Style Ale,2009
2838,Gold,Carnevale,Lost Abbey (The),San Marcos,CA,Belgian  and French-Style Ale,2009
2839,Silver,Demolition,Goose Island Beer Co.,Chicago,IL,Belgian  and French-Style Ale,2009
2840,Bronze,Collaborative Evil-Sacramento,Sacramento Brewing Co.,Sacramento,CA,Belgian  and French-Style Ale,2009
2841,Gold,Revelations,Pizza Port - Carlsbad,Carlsbad,CA,Belgian Style Strong Specialty Ale,2009
2842,Silver,"""100""",Covey Restaurant & Brewery (The),Fort Worth,TX,Belgian Style Strong Specialty Ale,2009
2843,Bronze,Father Damien Abbey Ale,Maui Brewing Co.,Lahaina,HI,Belgian Style Strong Specialty Ale,2009
2844,Gold,Signature Dubbel,Choc Beer Co.,Krebs,OK,Belgian-Style Abbey Ale,2009
2845,Silver,Tripel,Allagash Brewing Co.,Portland,ME,Belgian-Style Abbey Ale,2009
2846,Bronze,Deschutes Brewery Quad,Deschutes Brewery,Bend,OR,Belgian-Style Abbey Ale,2009
2847,Gold,Duck Duck Gooze,Lost Abbey (The),San Marcos,CA,Belgian-Style Lambic or Sour Ale,2009
2848,Silver,Red Rock,Big Rock Chop House & Brewery,Birmingham,MI,Belgian-Style Lambic or Sour Ale,2009
2849,Bronze,Supplication,Russian River Brewing Co.,Santa Rosa,CA,Belgian-Style Lambic or Sour Ale,2009
2850,Gold,ZON,Boulevard Brewing Co.,Kansas City,MO,Belgian-Style Witbier,2009
2851,Silver,Belgian White,Big Dog's Brewing Co.,Las Vegas,NV,Belgian-Style Witbier,2009
2852,Bronze,Wits End,Great American Restaurants,Centreville,VA,Belgian-Style Witbier,2009
2853,Gold,Troegenator,Tröegs Brewing Co.,Harrisburg,PA,Bock,2009
2854,Silver,May Bock,Backcountry Brewery,Frisco,CO,Bock,2009
2855,Bronze,Fornicator,Piece Brewery,Chicago,IL,Bock,2009
2856,Gold,Vermont Lager,Otter Creek Brewing/Wolaver's Organic Ales,Middlebury,VT,Bohemian Style Pilsener,2009
2857,Silver,Gordon Biersch Czech Pilsner,Gordon Biersch Brewery Restaurant Group,Broomfield,CO,Bohemian Style Pilsener,2009
2858,Bronze,Bell's Lager Beer,"Bell's Brewery, Inc",Galesburg,MI,Bohemian Style Pilsener,2009
2859,Gold,St. Charles Porter,Blackstone Brewing Co.,Nashville,TN,Brown Porter,2009
2860,Silver,Lazy Jake Porter,Long Valley Pub and Brewery,Long Valley,NJ,Brown Porter,2009
2861,Bronze,Black Butte Porter,Deschutes Brewery,Bend,OR,Brown Porter,2009
2862,Gold,Mactarnahan's Amber,Pyramid Breweries Inc,Seattle,WA,Classic English Style Pale Ale,2009
2863,Silver,Mirror Pond Pale Ale,Deschutes Brewery,Bend,OR,Classic English Style Pale Ale,2009
2864,Bronze,Hopfish,Flying Fish Brewing Co.,Cherry Hill,NJ,Classic English Style Pale Ale,2009
2865,Gold,Dark Starr Stout,Starr Hill Brewing Co.,Crozet,VA,Classic Irish-Style Dry Stout,2009
2866,Silver,Three Steve Stout,Cambridge House Brewpub (The),Torrington,CT,Classic Irish-Style Dry Stout,2009
2867,Bronze,Pub Dog Black Dog Stout,DOG Brewing Co.,Westminster,MD,Classic Irish-Style Dry Stout,2009
2868,Gold,Dude! Where's My Vespa?,Rock Bottom Brewery - Arlington,Arlington,VA,Coffee Flavored Beer,2009
2869,Silver,Overcast Espresso Stout,Oakshire Brewing,Eugene,OR,Coffee Flavored Beer,2009
2870,Bronze,Coffee Bender,Surly Brewing Co.,Brooklyn Center,MN,Coffee Flavored Beer,2009
2871,Gold,Move Back,SandLot (The),Denver,CO,Dortmunder or German-Style Oktoberfest,2009
2872,Silver,Greenside Up,SandLot (The),Denver,CO,Dortmunder or German-Style Oktoberfest,2009
2873,Bronze,Capital Bavarian Lager,Capital Brewery Co. Inc,Middleton,WI,Dortmunder or German-Style Oktoberfest,2009
2874,Gold,Longboard Brown,Rock Bottom Brewery - La Jolla,La Jolla,CA,English Style Brown Ale,2009
2875,Silver,Buster Nut Brown,Ska Brewing Co.,Durango,CO,English Style Brown Ale,2009
2876,Bronze,Good Grief Brown,Pizza Port - Carlsbad,Carlsbad,CA,English Style Brown Ale,2009
2877,Gold,Sara's Ruby Mild,Magnolia Gastropub & Brewery,San Francisco,CA,English Style Mild Ale,2009
2878,Silver,AK Session,Snake River Brewing Co.,Jackson,WY,English Style Mild Ale,2009
2879,Bronze,Coyote Moon,Snipes Mountain Brewing Co.,Sunnyside,WA,English Style Mild Ale,2009
2880,Gold,Beech Street Bitter,Pizza Port - Carlsbad,Carlsbad,CA,English-Style India Pale Ale,2009
2881,Silver,IPA,Goose Island Beer Co.,Chicago,IL,English-Style India Pale Ale,2009
2882,Bronze,Brewer's Alley India Pale Ale,Brewer's Alley Restaurant and Brewery,Frederick,MD,English-Style India Pale Ale,2009
2883,Gold,Light Rock Ale,RJ Rockers Brewing Co.,Spartanburg,SC,English-Style Summer Ale,2009
2884,Silver,Surfer's Summer Ale,Pelican Pub & Brewery,Pacific City,OR,English-Style Summer Ale,2009
2885,Bronze,True Blonde Ale,Ska Brewing Co.,Durango,CO,English-Style Summer Ale,2009
2886,Gold,Dunkel,Chuckanut Brewery,Bellingham,WA,European Style Dunkel,2009
2887,Silver,Gordon Biersch Dunkles,Gordon Biersch Brewery Restaurant Group,Broomfield,CO,European Style Dunkel,2009
2888,Bronze,Dunkel,AC Golden Brewing Co.,Golden,CO,European Style Dunkel,2009
2889,Gold,TPS Report,Trinity Brewing Co.,Colorado Springs,CO,Experimental Beer,2009
2890,Silver,Bloody Beer,Short's Brewing Co.,Bellaire,MI,Experimental Beer,2009
2891,Bronze,Brabant,Avery Brewing Co.,Boulder,CO,Experimental Beer,2009
2892,Gold,ESB,Redhook Ales - Woodinville,Woodinville,WA,Extra Special Bitter or Strong Bitter,2009
2893,Silver,Motorboat ESB,Sweetwater Brewing Co.,Atlanta,GA,Extra Special Bitter or Strong Bitter,2009
2894,Bronze,Colorado Boy IPA,Colorado Boy Pub & Brewery,Ridgway,CO,Extra Special Bitter or Strong Bitter,2009
2895,Gold,Space Stout,Laurelwood Brewing Co.,Portland,OR,Foreign Style Stout,2009
2896,Silver,San Quentin's Breakout Stout,Marin Brewing Co.,Larkspur,CA,Foreign Style Stout,2009
2897,Bronze,Whiteface Black Diamond Stout,Great Adirondack Brewing Co.,Lake Placid,NY,Foreign Style Stout,2009
2898,Gold,Saison Vautour,McKenzie Brew House,Glen Mills,PA,French- and Belgian Style Saison,2009
2899,Silver,Belgian Summer Ale,Great Adirondack Brewing Co.,Lake Placid,NY,French- and Belgian Style Saison,2009
2900,Bronze,Saison Du Bastone,Bastone Brewery,Royal Oak,MI,French- and Belgian Style Saison,2009
2901,Gold,Raspberry Creek,Breakwater Brewing Co.,Oceanside,CA,Fruit Beer or Field Beer,2009
2902,Silver,Magnolia's Peach,BJ's Restaurant & Brewery,Huntington Beach,CA,Fruit Beer or Field Beer,2009
2903,Bronze,Raspberry Tart,New Glarus Brewing Co.,New Glarus,WI,Fruit Beer or Field Beer,2009
2904,Gold,Bismarck Altbier,Dry Dock Brewing Co.,Aurora,CO,German Style Altbier,2009
2905,Silver,Boca Alt,Brewzzi West Palm,West Palm Beach,FL,German Style Altbier,2009
2906,Bronze,Gordon Biersch Alt Bier,Gordon Biersch Brewery Restaurant Group,Broomfield,CO,German Style Altbier,2009
2907,Gold,The Kaiser,Avery Brewing Co.,Boulder,CO,German Style Doppelbock or Eisbock,2009
2908,Silver,Samuel Adams Double Bock,Boston Beer Co.,Boston,MA,German Style Doppelbock or Eisbock,2009
2909,Bronze,Carbonator,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,German Style Doppelbock or Eisbock,2009
2910,Gold,Kolsch,Sierra Nevada Brewing Co.,Chico,CA,German Style Kölsch,2009
